Año;Ingresos (en millones de dólares);Variación porcentual;Usuarios Totales;Variación Porcentual Users
2011;3,205;-5.50%;23,540,000;18%
2012;3,609;12.60%;33,420,000;42%
2013;4,374;21.20%;44,350,000;33%
2014;5,505;25.80%;57,390,000;29%
2015;6,778;23.10%;75,030,000;31%
2016;8,831;30.30%;93,800,000;25%
2017;11,692;32.40%;117,580,000;25%
2018;15,794;35.10%;139,260,000;18%
2019;20,156;27.80%;167,100,000;20%
2020;24,995;24.00%;203,660,000;22%
2021;29,698;18.81%;209,180,000;3%
2022;31,616;6.50%;231,050,000;10%
